en,ja,video_id,start,end
boil the potatoes and lentils,じゃがいもとレンズ豆を茹でます,MZbrWzqEntk,45,53
boil rice noodles in a pot of boiling water,お湯を沸かした鍋でライスヌードルを茹でます,qqiJM4fV074,40,67
prepare a pot of boiled water and add 2 packs of chicken stock,鍋にお湯を沸かし、鶏がらスープを2パック加えます,K8cfa-hIT-8,92,108
add the udon noodles and boil it until it become soft,うどんを加えて柔らかくなるまで茹でます,838pWl1iNKk,90,106
keep some water boiling aside,お湯を沸かしておきます,vEiWZHn2OiE,147,149
boil some water with chicken stock,鶏がらスープの入った水を沸かします,-eyDS81FADw,42,48
add red onion celery green peas red pepper boiled eggs carrot and ham to the pasta,パスタに赤玉ねぎ、セロリ、グリーンピース、赤パプリカ、茹で卵、にんじん、ハムを加えます,osov-0HY1Lw,97,137
boil the ingredients for some time but not too long/,材料をしばらく煮ますが、長くは煮込まないようにします,_o3eKyNEECU,88,90
once the soup boils serve it with chilli vinegar soy sauce and fried noodles,スープが沸騰したら、青唐辛子、酢、醤油、揚げ麺を添えて出来上がりです,ZLA9W7R4a_c,151,161
add in tuna meat and boiled pasta,ツナと茹でたパスタを加えます,P1OuArzyUl8,37,44
serve the goose liver with the boiled vegetables,フォアグラを茹でた野菜と一緒に盛りつけます,0-OWf7eul6w,96,101
boil the pot over a stove,鍋をコンロにかけて、沸騰させます,Ij-B7-rcK0Q,52,57
boil in water,お湯で茹でます,MBDYDoIbt5M,93,104
add the potatoes and boil,ジャガイモを入れて茹でます,9cDDAEsdb7A,61,93
boil some water in a large pot with konbu,昆布を入れた大きな鍋で水を沸騰させます,DzRIphFQ2Jc,32,36
chop some potatoes into chunks and boil in a pot of water,じゃがいもを乱切りにし、水を入れた鍋で茹でます,K16Rr-pPKKI,103,202
when the soup boils turn the heat down and let it simmer for three to four minutes,スープが沸騰したら火を弱め、3～4分間煮ます,i_wZnw6f5Fw,345,367
heat some oil in a pan  add the garlic and boil some pasta in salted water,フライパンにオリーブオイルを熱してニンニクを入れ、塩を入れたお湯でパスタを茹でます,1LxRUKMCsrM,82,99
strain the tomato mixture to the pot and let it boil for 6 minutes,トマトを混ぜたものを濾して鍋に加え、6分沸騰させます,FfyOV00sXEY,250,276
get a pot of water boiled,鍋にお湯を沸かします,X4T4XjWNUgc,103,115
boil some water in a pot,鍋に水を入れて沸騰させます,9K3HfJqsY-M,59,67
add meat sliced ginger and onions to water and boil for 30 minutes,水に肉、ショウガの薄切り、青ねぎを加え、30分煮ます,nRageCYhbO8,62,85
boil the potatoes in water,じゃがいもをお湯で茹でます,D0STPAXDYxg,132,147
boil the potatoes in a pot of hot water,鍋にお湯を沸かしてじゃがいもを茹でます,r7i0dgOLdoo,37,40
boil and remove the foam,沸騰させてアクを取ります,_bICKhr9AGo,63,85
add potato cubes to cooking veggies cook for minute then add clam stock close lid bring to boil 10 minutes,炒めた野菜にさいの目に切ったジャガイモを加えて1分間炒め、貝のだし汁を加えて、蓋をして10分間煮ます,QpDxIXV6VTE,296,310
cut the potatoes and boil them in a pot of water,じゃがいもを切り、水を入れた鍋で茹でます,PKcwRi9jh0E,55,106
boil and stir,沸騰させてかき混ぜます,2Rn2tM9Rgg8,136,158
add water and boil,水を加えて沸騰させます,s345cUBQhhk,460,493
mix the boiled spaghetti and the egg mixture in the pan and whisk them,茹でたスパゲッティと卵液をフライパンでよく混ぜます,41NQ9UXkPWE,412,538
boil some udon noodles in water,うどんを水で茹でます,Ap3g0IRcjzU,299,323
dump some butter with boiled potatoes in a pot,茹でたじゃがいもが入った鍋にバターを入れます,RE3QHbz2SH4,22,25
drain the boiled potatoes in a large bowl,茹でたじゃがいもを大きなボウルに入れます,luc3a5TQ6z4,68,77
add 4 cups of chicken stock to the pot and let it boil,鶏がらスープ4カップを鍋に入れて沸騰させます,SsafTopywFo,296,383
boil the pot of cream and spring onions,クリームとスプリングオニオンを入れた鍋を沸騰させます,Ij-B7-rcK0Q,160,165
boil the potatoes and drain them,じゃがいもを茹で、水を切ります,DsKNKsXCLJw,132,146
boil some udon noodles in a pot and drain the noodles,鍋でうどんを茹で、水を切ります,kTVcpmqpXJ8,48,58
add mayonnaise chopped hard boiled eggs capers dill shallots and lemon juice to a bowl and mix,マヨネーズ、刻んだ固茹で卵、ケッパー、ディル、エシャロット、レモン汁をボウルに入れて混ぜます,yohSEYq9tSo,38,55
boil water and add the noodles to it simmer and cook until the noodles are soft covering the lid,お湯を沸かして麺を入れ、蓋をして麺が柔らかくなるまで茹でます,zcS2hLxZ-cI,59,78
add some chili oil and boil the mixture,ラー油を加えて材料を煮ます,byBVHb9z8Kc,127,133
add torn lettuce croutons bacon diced boiled egg shaved parmesan cheese and the dressing to a bowl,ちぎったレタス、クルトン、ベーコン、さいの目に切った茹で卵、削ったパルメザンチーズ、ドレッシングをボウルに入れます,Y9eViE3LY6U,119,156
when the water boils cook the ramen until soft and then drain,お湯が沸いたらラーメンを柔らかくなるまで茹で、水を切ります,pq2PcaRnzc4,135,141
put potatos into cold salted water and bring to boil,塩を入れた冷水にじゃがいもを入れ、沸騰させます,Vyrq2i3R_Sk,160,180
boil the potato ball in water,じゃがいものボールを水で茹でます,jGC0VhFCk5Y,114,125
boil the pierogies,ピエロギを茹でます,6uttmRx2ovo,480,540
put them into a saucepan and let it boil on high heat,ソースパンに入れ、強火で茹でます,ORHuKU5vxRg,21,32
boil the noodles water,麺をお湯で茹でます,5IL3Zl6rUu4,320,329
boil water in a pot with ginger lemon grass and lime leaves,ショウガ、レモングラス、ライムリーフを入れた鍋でお湯を沸かします,JYzdSgVKWTA,99,116
chop and boil some tofu and dry shiitake in water,豆腐を切って茹で、干し椎茸を水で戻します,DzRIphFQ2Jc,44,60
pour some boiled macaroni to a bowl,茹でたマカロニをボウルに入れます,jhb9ExNemYk,70,80
boil some spaghetti in the water,スパゲッティをお湯で茹でます,m7eR6vTPCxE,219,224
boil the potatos in water,じゃがいもを水で茹でます,T2PO609-4t0,334,340
when it boils cover and simmer gently for twenty minutes,沸騰したら蓋をして弱火で20分煮ます,c87PnAWDbOA,67,75
cut potatos and put in a pot of cold water and bring to boil,じゃがいもを切り、冷水を入れた鍋に入れて沸騰させます,ZIgpIiXxbJw,46,58
when the sauce boils add the meatballs,ソースが沸騰したらミートボールを加えます,__5RJw4UP1Y,79,93
lower the heat when the water starts boiling,沸騰し始めたら火を弱めます,9X5xmrZMX30,158,176
slice the potatoes into chunks and boil them,じゃがいもを乱切りにし、茹でます,JlXYqpEWUuA,123,130
add the boiled dal,茹でたダールを加えます,Eg89rR5s8e4,267,275
split tomatoes and boil them in the water,トマトに切り込みを入れ、お湯で茹でます,danq5zt1zlQ,38,62
boil the noodles in boiled water,沸騰したお湯で麺を茹でます,PqyqB_FkWrQ,69,80
strain the contents of the pot and boil again,鍋の中身を濾して、再度沸騰させます,Avx4fwzRYX4,175,182
boil the wontons in boiled water,ワンタンを沸騰したお湯で茹でます,PqyqB_FkWrQ,187,211
boil water and the noodles in it,お湯を沸かして麺を茹でます,u7xQLvrmRUg,27,29
boil water in a pot and add salt 3-4 tsp of oil add basmati rice and cook for about 6-7 minutes,鍋にお湯を沸かし、塩、油小さじ3～4、バスマティライスを加え、約6～7分炊きます,rpNzQZqj0JQ,97,130
add almond butter to the boiling pot of water stir add kale broccoli daikon root and seaweed and boil,沸騰した鍋にアーモンドバターを加えて混ぜ、ケール、ブロッコリー、大根、海藻を加えて茹でます,xAbBPXAnYvw,160,232
add butter granulated garlic worcestershire sauce apple cider vinegar and hot sauce to pan and boil,フライパンにバター、顆粒ニンニク、ウスターソース、アップルサイダービネガー、ホットソースを加え、沸騰させます,X4DYlEkdEaQ,8,67
cut potatoes and place them in a pot of water to boil,じゃがいもを切り、水を入れた鍋に入れて茹でます,xS78EktJZZA,80,87
put the chicken pieces tofu and shiitake in the dashi and keep boiling,切った鶏肉、豆腐、椎茸をだしに入れて煮込みます,DzRIphFQ2Jc,148,160
bring large pot of salted water to boil,大きな鍋で塩を入れた水を沸騰させます,cCAct_Q8QTw,60,62
boil noodles in pot until tender,鍋で麺を柔らかくなるまで茹でます,nRageCYhbO8,87,101
cook some udon noodles in boiled water,沸騰したお湯でうどんを茹でます,Dg4z8V4Bsd0,95,108
boil pasta in boiling salted water for a long time,塩を入れ沸騰させたお湯でパスタを記載された時間茹でます,P4FkXyKRwKk,33,35
boil peeled potatoes in water,皮をむいたじゃがいもを水で茹でます,7PATXwoKFeI,35,48
mix water  and flour in a pot and boil while whisking,鍋の中で水と小麦粉を混ぜて、かき混ぜながら煮詰めます,M8E0XaX0tR0,202,228
cook pasta in boiling salted water,塩を入れた沸騰した湯でパスタを茹でます,r-s3tFLCqxM,77,81
boil noodles in a pot of water,鍋に水を入れて麺を茹でます,2QtUtQMVoG8,109,119
crack the eggs to the boiled liquid and let them cook until ready,沸騰させたお湯に卵を割り入れ、茹で上がるまでそのままにします,EOc8Xiezg8U,112,123
cook the macaroni in boiled salted water,塩を入れた水を沸騰させ、マカロニを茹でます,J6j0B9hK2Sk,44,50
boil until the noodles are soft,麺が柔らかくなるまで茹でます,CtAJhyW0j_M,339,410
boil a pot of water,鍋にお湯を沸かします,KAQ6pA9r4wk,53,55
add boiled chickpeas to it,茹でたひよこ豆を加えます,jkFDlNHAXsU,379,395
cut the boiled egg into small pieces,茹で卵を小さく切ります,nLlibzCXf1Q,117,128
boil the potatoes in water,じゃがいもを水で茹でます,jGC0VhFCk5Y,35,42
mix the mixture with the boiled macaroni,ミックス液に茹でたマカロニを加えて混ぜます,5olHoTWB1Hw,214,232
boil and let it simmer and skim all foam,沸騰させて煮込み、アクをすべて取り除きます,-jZ_U3neOcI,13,24
pour the onion mix to the boiled dal,茹でたダールに玉ねぎを混ぜたものを加えます,m_0hSqNeLIk,309,315
soak the potatoes  add some salt and boil it,じゃがいもが浸るまで水を入れ、塩を加えて茹でます,HbXjlFaPzOM,126,155
drain the water and boil it in pressure cooker,その水を圧力鍋に注ぎ、沸騰させます,GmWb7W7m2vs,20,30
boil the potatoes in water,ジャガイモを水から茹でます,91z7e22XGy8,21,30
strain some boiled pasta pour the sauce on it and garnish with parmesan cheese,茹でたパスタの水を切り、ソースをかけ、パルメザンチーズをふります,F5NsOgJgz64,237,333
when the vegetable stock boils add instant cooking noodles,野菜スープが沸騰したら、インスタント麺を加えます,Z6c8hIW7bhI,226,230
to this further add a can of chopped tomatoes and hot water and stir well and bring it to boil,ここにあらごしトマト1缶とお湯を加え、よく混ぜて沸騰させます,Qh_rtJaCpXs,138,151
boil the potatoes in salted water,塩を入れたお湯でじゃがいもを茹でます,CElmXCveb48,52,67
combine chopped potatoes and 4 cans of clam in a large pot and boil the mixture in a pot,小さく切ったじゃがいもとアサリの缶詰4缶分を大きな鍋に入れ、茹でます,zFKhct4g8as,149,188
boil some water add chopped potatoes and cook,お湯を沸かして切ったじゃがいもを加えて煮ます,sT594H2u4kk,91,95
boil some peeled potatoes in water,皮をむいたじゃがいもを茹でます,igEW1p4ZViM,24,36
coat the onion rings in the batter,玉ねぎの輪切りをバッター液にくぐらせます,0Mz4NTozNXw,89,97
coat the meat with flour egg mixture and bread crumb,肉に小麦粉、卵液、パン粉をまぶします,eggntdifVXE,273,292
coat the onion rings in flour mix,混ぜ合わせた小麦粉をオニオンリングにまぶします,Pqi3yupFFJo,157,198
dip each coated onion into the batter and deep fry in batches,粉をまぶした玉ねぎをバッター液に浸して、何個かずつ揚げます,r1HcLnSTJHY,109,135
stir the dressing and coat the vegetables with the dressing,ドレッシングを混ぜ、野菜にからめます,_T6wD5toQF8,131,144
coat the onions in the flour mixture,混ぜた小麦粉を玉ねぎにまぶします,4B6j3gYkvr4,230,241
put the prepared meat loaf into the sauce and coat it well,用意したミートローフをソースに入れて、よくからめます,Lky6MPtNJto,195,220
coat the meat in the bread crumbs,肉にパン粉をまぶします,l2E5jHfAENY,161,184
coat the shrimp in flour and batter and place in oil,エビに小麦粉とバッター液をまぶし、コーン油に入れます,Nxt9F9WjdcU,230,249
coat the ball in flour and roll out,ボールに小麦粉をまぶし、伸ばします,2fPWPaNrUEM,161,187
coat the chicken in the marinade,鶏肉をマリネ液に浸します,7ghf2NpsdcM,77,90
coat the shrimp in sunflower flour and the batter and place into the oil,エビに小麦粉をまぶして衣をつけ、油に入れます,sQl3bQ1rQUM,272,288
deep fry the coated chicken pieces in vegetable oil for 4  5 minutes,衣をつけた鶏肉を植物油で4～5分揚げます,ZFCc4B5Jj_4,64,72
coat the dogs with batter well,ホットドッグにバッター液をしっかりとつけます,jY6HcQVqLgw,108,121
take 3 lbs of chicken breast cut into bite size pieces  dip them in the batter to coat,一口大に切った鶏むね肉3ポンドをバッター液にくぐらせて衣をつけます,ZFCc4B5Jj_4,56,63
toss until apple mixture is coated well,りんごによく絡むまで混ぜます,lSq6y2F35ig,153,172
coat the balls with flour,ボールに小麦粉をまぶします,2lHFKR2r65U,165,175
add the sauce and keep on stirring until everything is coated,ソースを加え、全体に行き渡るまで混ぜます,r-s3tFLCqxM,107,116
coat the meat with the all purpose flour and shake off the excess flour,肉に中力粉をまぶし、余分な粉を振り落とします,l2E5jHfAENY,136,144
coat the shrimp in the batter and deep fry in a pot of hot oil,エビにバッター液をつけて熱した油で揚げます,H4-p87JS-yA,98,116
add the rings into bread crumbs to coat it well,リングをパン粉に入れてよくまぶします,y0c17Wxj_TI,247,267
coat the onions with the flour the buttermilk mixture and with the flour again,玉ねぎに小麦粉をまぶし、バターミルクを混ぜたものに浸し、小麦粉を再度まぶします,oP6PR4KfH0A,196,240
coat the chicken with the bread crumb powder and lay them on a baking pan,鶏肉にパン粉と小麦粉のミックスをまぶし、天板に並べます,7-WEdqJBXoQ,173,188
add the wings to the sauce and mix to coat the wings,手羽肉をソースに入れ、混ぜて手羽肉にまぶします,a8oSlp9PCMg,370,418
mix with hands until evenly coated,全体によくなじむよう手で混ぜます,rO2UhGnexwY,118,126
coat the chicken with egg and bread crumbs,鶏肉に卵液をからめ、パン粉をまぶします,WcNepcoPYmA,83,112
coat the prawns with corn flour,エビにコーンスターチをまぶします,zwbCD3CUFIs,37,55
coat the chicken in the egg and then the bread crumbs,鶏肉に卵をからめた後、パン粉をまぶします,JQl2zaUGNSU,69,98
add 1 tbsp of hungarian paprika add meat stir until coated with onions and paprika and simmer for 10 minutes,ハンガリー産パプリカ大さじ1を加え、肉を加えて玉ねぎとパプリカが行き渡るまでかき混ぜ、10分煮込みます,P71govkTh1E,89,118
take the bread sandwich dip it in the beaten mixture and coat it nicely on both the sides,サンドイッチを卵液に入れ、両面をしっかりと浸します,z4vmfgk1My8,143,153
coat the fish in flour salt and pepper,魚に小麦粉、塩、コショウをまぶします,WrJ_Xj9FArM,100,113
add in the fried chicken and stir to coat them well,揚げた鶏肉を加えてまんべんなく混ぜます,XOwypmUT5cc,600,618
coat the meat in the flour eggs and breadcrumbs,肉に小麦粉、卵、パン粉をつけます,MCs2_Ih0PZA,73,82
coat the chicken in the flour,鶏肉に小麦粉をまぶします,vZ7Pz9jM7zk,124,137
coat the dough in flour,生地に小麦粉をまぶします,GYolHIuQlEY,20,27
remove the veal from the wrap and coat the meat with flour on both the sides,ラップから子牛肉を取り出し、肉の両面に小麦粉をまぶします,HJBQ-NgQ9T0,163,197
coat the onion rings with the prepared liquid and powder,オニオンリングに用意した液体と粉類をまぶします,U0jn_DI5ESg,98,107
coat the chicken in the flour,鶏肉に小麦粉をまぶします,wDa0GL9AZE8,72,87
pour the mixed sauce on the squids and stir to coat the squid well,混ぜておいたソースをイカにかけ、かき混ぜてよくからめます,2ICT6R4XpG8,221,256
coat the chicken in the flour,鶏肉に小麦粉をまぶします,UbunZxDifYU,170,223
coat the fish with flour and the mixture,魚に小麦粉をまぶし、衣をつけます,htIpLVWrs0U,173,188
coat the chicken in the flour,鶏肉に小麦粉をまぶします,kdpQK9f-_xU,114,127
coat the chicken with flour,鶏肉に小麦粉をまぶします,C2cNcOXGyZA,88,114
coat the fish in the flour and the batter,魚に小麦粉と衣をつけます,-ORd4EBliqw,387,404
coat the chicken in the mixture,鶏肉を卵液に浸します,B7-kMmC8Tj8,92,102
coat the pieces of mixture with flour,成形したものに小麦粉をまぶします,_j-0ElzS88Q,123,132
coat the meat in flour egg and bread and add salt and pepper,肉に小麦粉、卵、パン粉をつけて塩とコショウをします,YUWG15N2yW4,155,227
coat the chicken with salt pepper and hot spice,鶏肉に塩、コショウ、ホットスパイスをまぶします,KAQ6pA9r4wk,22,40
coat the chicken with egg and then coat with breadcrumbs,鶏肉を卵にくぐらせてから、パン粉をまぶします,C2cNcOXGyZA,114,137
fry the coated dogs in oil and serve after it is well cooked,バッター液をつけたホットドッグを植物油で揚げ、十分に火が通ったら出来上がりです,jY6HcQVqLgw,131,153
toss the meat until well coated,粉がしっかりつくまで肉を混ぜます,f-h7OM5HM0Q,158,165
coat the ball of dough in flour and roll out,ボール状の生地に小麦粉をまぶし、伸ばします,D0STPAXDYxg,334,368
pour the prepared sauce on the fried wings and coat them well,用意したソースを揚げた手羽肉にかけ、よくからめます,DKk5IVcIWW8,130,138
coat the chicken in the breading,鶏肉に衣をつけます,tcPeQKJMTOk,150,175
turn the heat low and keep the veggie stock and noodles to cook on it,火を弱めて野菜スープと麺を引き続き煮ます,Z6c8hIW7bhI,305,313
add tomatoes to onion paste and cook,玉ねぎのペーストにトマトを加えて炒めます,NkCbbwxEdXU,125,137
cook the bacon on the pan,フライパンでベーコンを焼きます,17v08qtr8UM,42,55
heat a pan with little oil and cook the ground lamb,フライパンに油を少量熱し、ラムひき肉を炒めます,Qsgz9Vr-5aU,80,100
add the noodles and cover the pan to cook until it is ready to serve,麺を加えて蓋をし、火が通れば出来上がりです,_H0Mmr15_zA,255,287
cook the tomatos in the oven,オーブンでトマトを焼きます,-yfTO7V2d_E,69,83
heat 2 5 cups of cooking oil on high heat and fry the chicken until golden brown,サラダ油2.5カップを強火で熱し、鶏肉をきつね色になるまで揚げます,fAfk3DJ5Diw,125,169
cook the spring rolls in the oven,オーブンで春巻を焼きます,yBsMxYO8fZo,259,268
cook the chicken in the wok,中華鍋で鶏肉を炒めます,NGaMA8-Qn8o,357,380
add diced carrots and broccoli stir and cook with lid on,さいの目に切ったにんじんとブロッコリーを加えて炒め、蓋をして蒸します,LV943DshjOc,163,195
pour the meatball gravy on cooked noodles garnish with grated cheese and chopped parsley leaves and serve,ミートボールグレービーを茹でた麺にかけ、すりおろしたチーズと刻んだパセリの葉で飾れば出来上がりです,Qh_rtJaCpXs,209,218
add bean sprouts cooked zucchini goshari spinach shiitake mushroom chopped carrots and cooked beef to rice,もやし、炒めたズッキーニ、コサリ、ほうれん草、しいたけ、刻んだにんじん、炒めた牛肉をご飯に加えます,6KCWzRfFyr4,477,518
cook the bread in the pan,フライパンでパンを焼きます,g1jFJYtQ9_s,248,256
heat some olive oil in a pan and cook the prosciutto in it,フライパンにオリーブオイルを熱し、プロシュートを炒めます,vEiWZHn2OiE,163,181
add butter the herb bundles herb leaves garlic and shallots in a pan and cook until soft,バター、ハーブの束、ハーブの葉、ニンニク、エシャロットを鍋に入れ、柔らかくなるまで炒めます,8q287rBZAM0,106,123
place them under a hot broiler and cook them until the skin has charred,熱したブロイラーの下に置き、皮が焦げるまで焼きます,XpZZ08wz_4A,40,47
pour cooked pasta into a bowl,茹でたパスタをボウルに移します,on8-O_f69ys,260,269
saute chopped green onions and red chilies adding olive oil and the liquid mixture to it and cook,刻んだ青ねぎ、赤唐辛子を炒め、オリーブオイル、混ぜ合わせた液体調味料を加えて煮ます,ZFCc4B5Jj_4,124,155
transfer the cooked onions celery and butter into the saucepan and add quarter cup of corn starch,炒めた玉ねぎ、セロリ、バターをソースパンに移し、コーンスターチ1/4カップを加えます,zFKhct4g8as,47,88
add chana masala and cook for 2 minutes,チャナマサラを加えて2分間炒めます,Vi9BxQvpdpQ,205,236
cook the egg in the wok,中華鍋で卵を炒めます,XrhAUrmnjaA,250,256
after simmering the dal add cream  cup and cook for 5 more minutes,レンズ豆を煮込んだら、クリームを加えてあと5分煮ます,qSGeNRE8DIA,219,233
add tofu salt soy sauce chicken broth cover it and cook,豆腐、塩、醤油、鶏がらスープを加えて蓋をし、煮ます,SIRq4vM7zLQ,249,310
add the minced beef to pan and cook while stirring,牛ひき肉を鍋に入れ、混ぜながら炒めます,ItEqiHzbLj4,96,129
mash the dal and cook it in a open pot,ダールをマッシュして、鍋の蓋を開けて煮ます,m_0hSqNeLIk,127,150
take off the brats from beer and place them on the grill and cook for about 4 minutes per side,ブラートヴルストをビールから取り出し、グリルの上にのせて、片面ごとに約4分焼きます,shG7q7jqfsY,76,93
cook the beef in pan until brown,フライパンで牛肉を焼き色がつくまで焼きます,nJzDfRIb9T0,64,76
cover and cook for about 5 minutes,蓋をして5分ほど煮ます,f9mlIEtVt5s,129,131
cook the meatballs in the oven,オーブンでミートボールを焼きます,u_EbTnpbHRk,186,203
cook the potatoes on the low setting of the stove,コンロの弱火でじゃがいもを調理します,C4ToOkxTe-o,185,201
add some oil to a pan and cook the chopped pieces in it,フライパンに植物油をひき、みじん切りにした材料を炒めます,lyjRwe9kGDg,70,93
add 1 pound of cannellini beans six cups water and bay leaf  cook closing lid on high pressure 35 minutes,1ポンドの白いんげん豆、6カップの水、ローリエを加え、蓋を閉めて高圧で35分間調理します,PTgdWWK2SPQ,197,231
cook the combined spice and vegetables in the pan,合わせたスパイスと野菜をフライパンで炒めます,GridojtCXDE,44,88
cook the sausages on a grill,グリルでソーセージを焼きます,vL2hqbnR5HY,120,131
mix cooking wine hoisin sauce soy sauce red bean curd honey and spice powder,料理酒、海鮮醤、醤油、紅腐乳、はちみつ、スパイスパウダーを混ぜ合わせます,lMNneVHjxk8,28,68
place the chicken on a wire rack and cook it in the oven for 10-15 minutes and serve,鶏肉を金網にのせ、オーブンで10～15分焼いて出来上がりです,fq37BTAjPHk,418,474
add pre cooked udon noodles to the pan,フライパンに茹でておいたうどんを加えます,1uCNsybhEAg,160,173
cover the pot and cook mussels for 10-15 minutes check on mussels and liquid,鍋に蓋をし、ムール貝を10～15分煮たら貝と煮汁の状態を確認します,ofaghkdG2pU,190,203
place cheese slice on the top and cook,スライスチーズを上にのせて焼きます,sbkVPzkVY0M,213,222
cook the pancetta onions garlic celery and hot pepper flakes in a pot,鍋でパンチェッタ、玉ねぎ、ニンニク、セロリ、ホットペッパーフレークを炒めます,TvQjlIaAssw,9,35
cover to cook until 70% cooked,蓋をして70%ほど火が通るまで煮ます,zMrDtnzoSiw,198,209
place the sliced foie gras in the pan and cook flipping them until both the sides are browned,スライスしたフォアグラをフライパンに入れ、両面がきつね色になるまで裏返しながら焼きます,JanpGgH1TaA,300,397
add tomatoes red chilli powder mix cover and cook for 5 minutes,トマト、レッドチリパウダーを加えて混ぜ、蓋をして5分間煮ます,Vi9BxQvpdpQ,243,270
cook the sausage in the pan with oil,鍋にオリーブオイルをひき、ソーセージを焼きます,9-hB_1taG0o,56,90
put the balls in and cook in batches,ボールを入れ、何回かに分けて焼きます,m7eR6vTPCxE,120,138
cook sausages on the grill pan,グリルパンでソーセージを焼きます,D0EAxdmzjzE,167,180
place the sausages on a hot pan and let them cook,熱したフライパンにソーセージを入れて焼きます,6uRC10OGY8c,108,134
put the soaked bread into the pan and cook until it gets golden browned on both the sides,浸したパンをフライパンに入れ、両面がきつね色になるまで焼きます,z4vmfgk1My8,159,166
cook the patty in the pan,フライパンでパティを焼きます,naTT2_95rpM,113,135
cook the slices in a dry pan while remebering to flip them over once,乾いたフライパンでスライスを焼き、忘れずに一度裏返します,0-OWf7eul6w,45,81
cook urad dal with water ginger and salt,ウラド豆に水、ショウガ、塩を入れて煮ます,m_0hSqNeLIk,95,112
mix the beef egg vegetables and some cooked rice,牛肉、卵、野菜、炊いたご飯を混ぜます,qRUbmEZ6oiA,286,309
pour the egg mixture in the pan to cook by stirring,卵液をフライパンに注ぎ、混ぜながら火を通します,NujJqJUXSQY,92,135
add some wine to the pan and let the ingredients cook in the wine,フライパンにワインを加え、材料をワインで調理します,RYaVRKzehns,96,128
cook the paste with some olive oil in a pan,フライパンにオリーブオイルを入れ、ペーストを炒めます,e-GfjjZMabA,103,139
cook the meat on the grill,肉をグリルで焼きます,R96CUaMwGME,59,68
season with salt and also cook them on the grill,塩で味付けして同様にグリルで焼きます,qpxPlQ0IfLk,51,65
add yellow beans to the pan and cook with the onions,イエロービーンズをフライパンに入れ、玉ねぎと一緒に炒めます,igC0oJ48gxg,134,154
cook some chopped white onion with beer and the brat in a pan,刻んだ白玉ねぎ、ビール、ソーセージをフライパンに入れて煮ます,SHGY7kKeLq8,111,130
cook the noodles in a pot of boiling water,お湯を沸かした鍋で麺を茹でます,sb58mkT8_ak,152,157
set the flame on medium heat cover the lid and pressure cook the ingredients until 4 whistles,中火にかけ、鍋の蓋をして、笛のような音が4回鳴るまで材料を圧力調理します,qSGeNRE8DIA,61,67
continue to cook the vegetable until they are charred all over,野菜は全体に焦げ目がつくまで焼きます,p_UKXct35jY,134,140
cook the sweet potatoes and cabbage in the pan,鍋でさつまいもとキャベツを煮ます,lhSHtL-fMYA,274,285
put a pan on medium heat put olive oil and add cut pancetta and cook it crispy,フライパンを中火にかけてオリーブオイルをひき、切ったパンチェッタを加えてカリカリに炒めます,on8-O_f69ys,131,155
